_TgvXeXV1Z8	2021-09-03	L	Trailer	
20	c3	Black Beauty	c1	Geisha	1

ittf8bS_kVQ	2021-09-07	L	Trailer	
20	c3	Riveter	c1	Banshee	2

dH6iWJnEI4w	2021-09-11	L	Trailer	
20	c1	Carbon	c2	Infinity	1

gDvlDlGZdeM	2021-09-14	L	Trailer	
20	c1	Mademoiselle	c2	Siren	2

UYgIIgvdtVU	2021-09-16	L	Trailer	
21	c2	Banshee	c1	Colada	2

nNim9nRzam4	2021-09-18	L	Trailer	
20	c2	Mirage	c1	Pumps	1

tkiO0_o_EwY	2021-09-20	L	Trailer	
20	c1	Voodoo	c1	Lithium	1

S1bi7JzPwQk	2021-09-22	L	Trailer	
21	c1	Lolita	c1	Anomaly	2

6uCaKXN5ooE	2021-09-23	L	Trailer	
19	c3	Majesty	c2	Temperance	1

ZNUNOrWq5dY	2021-09-25	L	Trailer	
19	c3	Femme Fatale	c2	Pumps	2

X9y1FMTdYOM	2021-09-26	L	Trailer	
19	c3	Tequila	c2	Malice	2

FnfeHUXqWjw	2021-09-28	L	Trailer	
19	c3	Shadow	c2	Banshee	1

4I3zlmsGJIE	2021-09-29	L	Type-Moon Times	
1171	c1	Insomnia	c1	Lithium	1
1358	c2	Harlem	c1	Legacy	2
1636	c3	Insomnia	c2	Mirage	1

HMSJdjyDpfI	2021-09-30	N		
144	c1	Goddess	c3	Colada	1
287	c1	Shadow	c3	Mannequin	1
421	c1	Lithium	c3	Wicked	1
533	c1	Stiletto	c3	Cougar	1
662	c1	Femme Fatale	c3	Harlem	1
782	c1	Shadow	c3	Calypso	1
875	c1	Voodoo	c3	Beretta	1
1035	c1	Legacy	c3	Minx	1
1217	c1	Cascade	c3	Mirage	1

96s2Vh-897Y	2021-09-30	N		
0	c2	Pumps	c2	Wicked	1
122	c2	Infinity	c2	Stiletto	2
299	c2	Stiletto	c2	Temperance	1
400	c2	Black Beauty	c2	Colada	2
524	c2	Malice	c2	Tattoo	1

k4uH6y9DXNM	2021-09-30	N		
0	c2	Minx	c2	Lotus	1
142	c2	Voodoo	c2	Ultra	2
270	c2	Minx	c2	Raven	2
451	c2	Pumps	c2	Half Pint	1
603	c2	Ivy	c2	Vanity	2
798	c2	Black Beauty	c2	Nova	1
1010	c2	Tattoo	c2	Heroin	1
1174	c2	Temperance	c2	Shadow	2
1340	c2	Rogue	c2	Half Pint	2
1583	c2	Shadow	c2	Nightmare	1

z2HjCO6igeQ	2021-10-01	N		
1	c3	Heroin	c1	Minx	2
139	c3	Tattoo	c1	Terror	2

4AhOr6UT2TQ	2021-10-01	N		
1	c1	Nova	c3	Tattoo	1

1NosZRK5-dA	2021-10-02	L	Tournament|PIKA Perth	
36	c1	Thunderbird	c3	Beretta	2
207	c1	Lithium	c3	Thunderbird	2
389	c1	Anomaly	c3	Tattoo	2
640	c3	Calypso	c1	Wicked	1
785	c3	Cascade	c1	Geisha	2
898	c3	Heroin	c1	Black Beauty	1
1084	c3	Insomnia	c1	Harlem	2
1284	c3	Enchantress	c1	Siren	2
1440	c3	Vixen	c1	Cougar	2
